==============================================================================
전략 고정번호 적중 목록 — 21~1235회 (맞은 것만)
==============================================================================
각 회차 직전 20회 데이터로 고정번호 후보를 재현하고, 그 회차 실제 당첨번호와 대조
🎲합계정밀·🤫분배회피는 고정번호가 없는 전략이라 대상에서 제외

    회차 |     날짜     |     맞은 번호 | 그 번호를 집은 전략
  1016 | 2022-05-21 |        15 | 🔄휴식회귀
  1015 | 2022-05-14 |        14 | 🔁이월수
  1015 | 2022-05-14 |        40 | ✨최약끝수
  1014 | 2022-05-07 |         3 | 🎯보너스추적
  1014 | 2022-05-07 |        26 | 🔁이월수
  1012 | 2022-04-23 |         5 | 🚀미출현폭탄
  1012 | 2022-04-23 |        20 | 🎯보너스추적, ✨최약끝수
  1012 | 2022-04-23 |        35 | 🔁이월수
  1011 | 2022-04-16 |         1 | 🔄휴식회귀
  1011 | 2022-04-16 |         9 | 🔁이월수
  1011 | 2022-04-16 |        12 | 🔁이월수
  1010 | 2022-04-09 |        15 | 🔁이월수
  1010 | 2022-04-09 |        34 | 🔁이월수
  1009 | 2022-04-02 |        23 | 🚀미출현폭탄
  1009 | 2022-04-02 |        34 | 🚀미출현폭탄
  1009 | 2022-04-02 |        40 | 🎯보너스추적, ✨최약끝수
  1009 | 2022-04-02 |        44 | 🔁이월수
  1008 | 2022-03-26 |        11 | 🔁이월수
  1008 | 2022-03-26 |        30 | ✨최약끝수
  1007 | 2022-03-19 |         8 | 🔁이월수
  1007 | 2022-03-19 |        11 | 🔁이월수
  1007 | 2022-03-19 |        16 | 🔁이월수
  1006 | 2022-03-12 |         8 | 🔁이월수
  1006 | 2022-03-12 |        17 | 🎯보너스추적
  1005 | 2022-03-05 |        13 | 🔄휴식회귀
  1005 | 2022-03-05 |        18 | 🎯보너스추적, 🔄휴식회귀
  1004 | 2022-02-26 |        15 | 🎯보너스추적
  1004 | 2022-02-26 |        30 | ✨최약끝수
  1004 | 2022-02-26 |        39 | 🎯보너스추적, 🔁이월수
  1003 | 2022-02-19 |         4 | 🔄휴식회귀
  1003 | 2022-02-19 |        29 | ✨최약끝수
  1003 | 2022-02-19 |        39 | 🎯보너스추적, ✨최약끝수
  1003 | 2022-02-19 |        45 | 🔁이월수
  1001 | 2022-02-05 |        42 | 🔁이월수
  1000 | 2022-01-29 |        19 | 🚀미출현폭탄, ✨최약끝수
  1000 | 2022-01-29 |        22 | 🚀미출현폭탄
   999 | 2022-01-22 |         9 | 🚀미출현폭탄, ✨최약끝수
   999 | 2022-01-22 |        18 | 🔁이월수
   999 | 2022-01-22 |        28 | 🎯보너스추적
   998 | 2022-01-15 |        20 | 🎯보너스추적
   997 | 2022-01-08 |         7 | 🎯보너스추적
   997 | 2022-01-08 |        24 | 🔁이월수
   997 | 2022-01-08 |        44 | 🎯보너스추적, 🔄휴식회귀
   996 | 2022-01-01 |        39 | 🔁이월수, ✨최약끝수
   995 | 2021-12-25 |         1 | 🔁이월수
   995 | 2021-12-25 |        29 | ✨최약끝수
   995 | 2021-12-25 |        39 | 🚀미출현폭탄, ✨최약끝수
   994 | 2021-12-18 |        24 | 🎯보너스추적, 🔁이월수
   993 | 2021-12-11 |         6 | 🚀미출현폭탄
   993 | 2021-12-11 |        16 | 🔄휴식회귀
   993 | 2021-12-11 |        18 | ✨최약끝수
   993 | 2021-12-11 |        24 | 🎯보너스추적
   992 | 2021-12-04 |        26 | 🎯보너스추적
   992 | 2021-12-04 |        33 | 🔁이월수
   992 | 2021-12-04 |        44 | 🔁이월수
   991 | 2021-11-27 |        18 | ✨최약끝수
   991 | 2021-11-27 |        25 | 🔁이월수
   990 | 2021-11-20 |        26 | 🎯보너스추적
   990 | 2021-11-20 |        37 | 🔄휴식회귀
   989 | 2021-11-13 |        18 | ✨최약끝수
   989 | 2021-11-13 |        27 | 🎯보너스추적
   988 | 2021-11-06 |         2 | 🔁이월수
   987 | 2021-10-30 |         2 | 🔄휴식회귀
   987 | 2021-10-30 |        38 | ✨최약끝수
   986 | 2021-10-23 |        28 | ✨최약끝수
   985 | 2021-10-16 |        23 | 🔁이월수
   985 | 2021-10-16 |        30 | 🚀미출현폭탄
   984 | 2021-10-09 |        10 | ✨최약끝수
   984 | 2021-10-09 |        23 | 🔁이월수
   984 | 2021-10-09 |        35 | 🔁이월수
   983 | 2021-10-02 |        13 | 🔁이월수
   982 | 2021-09-25 |        20 | 🚀미출현폭탄, ✨최약끝수
   981 | 2021-09-18 |        37 | 🔄휴식회귀
   980 | 2021-09-11 |        16 | 🎯보너스추적, 🔁이월수
   980 | 2021-09-11 |        24 | 🎯보너스추적
   979 | 2021-09-04 |         7 | 🔁이월수
   979 | 2021-09-04 |        16 | 🎯보너스추적
   979 | 2021-09-04 |        21 | 🔄휴식회귀
   979 | 2021-09-04 |        27 | 🚀미출현폭탄
   977 | 2021-08-21 |         2 | 🎯보너스추적
   977 | 2021-08-21 |        10 | ✨최약끝수
   977 | 2021-08-21 |        14 | 🔁이월수
   975 | 2021-08-07 |         7 | 🚀미출현폭탄, ✨최약끝수
   975 | 2021-08-07 |         8 | 🚀미출현폭탄
   975 | 2021-08-07 |         9 | 🔄휴식회귀
   975 | 2021-08-07 |        17 | ✨최약끝수
   975 | 2021-08-07 |        24 | 🎯보너스추적, 🔄휴식회귀
   974 | 2021-07-31 |         1 | 🔄휴식회귀
   973 | 2021-07-24 |        26 | 🎯보너스추적
   973 | 2021-07-24 |        37 | 🔁이월수, ✨최약끝수
   972 | 2021-07-17 |         6 | 🔁이월수
   972 | 2021-07-17 |        17 | 🔁이월수, ✨최약끝수
   972 | 2021-07-17 |        37 | 🔄휴식회귀, ✨최약끝수
   971 | 2021-07-10 |        17 | 🚀미출현폭탄, ✨최약끝수
   971 | 2021-07-10 |        21 | 🔁이월수
   970 | 2021-07-03 |         9 | 🎯보너스추적, 🔁이월수
   970 | 2021-07-03 |        28 | 🔄휴식회귀
   969 | 2021-06-26 |         9 | 🎯보너스추적, 🔄휴식회귀
   968 | 2021-06-19 |         5 | 🚀미출현폭탄
   967 | 2021-06-12 |         1 | 🔁이월수
   967 | 2021-06-12 |        37 | 🔁이월수, ✨최약끝수
   966 | 2021-06-05 |        25 | 🔁이월수
   966 | 2021-06-05 |        29 | 🔁이월수
   966 | 2021-06-05 |        34 | 🎯보너스추적
   966 | 2021-06-05 |        37 | ✨최약끝수
   965 | 2021-05-29 |        36 | 🔁이월수
   964 | 2021-05-22 |         6 | 🔁이월수, ✨최약끝수
   964 | 2021-05-22 |        36 | ✨최약끝수
   964 | 2021-05-22 |        43 | 🎯보너스추적
   963 | 2021-05-15 |         6 | 🚀미출현폭탄, ✨최약끝수
   963 | 2021-05-15 |        34 | 🔁이월수
   962 | 2021-05-08 |        31 | 🔁이월수
   962 | 2021-05-08 |        43 | 🎯보너스추적
   961 | 2021-05-01 |        33 | 🔄휴식회귀
   960 | 2021-04-24 |        24 | 🔁이월수
   960 | 2021-04-24 |        30 | 🔄휴식회귀
   959 | 2021-04-17 |         1 | 🎯보너스추적
   959 | 2021-04-17 |        40 | 🎯보너스추적
   958 | 2021-04-10 |        35 | 🔁이월수
   958 | 2021-04-10 |        37 | ✨최약끝수
   957 | 2021-04-03 |        36 | ✨최약끝수
   957 | 2021-04-03 |        40 | 🎯보너스추적, 🔄휴식회귀
   956 | 2021-03-27 |        10 | 🔄휴식회귀
   955 | 2021-03-20 |         9 | 🔁이월수
   955 | 2021-03-20 |        23 | 🚀미출현폭탄
   955 | 2021-03-20 |        26 | 🔁이월수, ✨최약끝수
   954 | 2021-03-13 |         9 | 🔁이월수
   954 | 2021-03-13 |        26 | ✨최약끝수
   953 | 2021-03-06 |        22 | 🔁이월수
   952 | 2021-02-27 |        12 | 🔁이월수
   951 | 2021-02-20 |        30 | 🎯보너스추적
   950 | 2021-02-13 |        15 | 🔄휴식회귀
   950 | 2021-02-13 |        40 | 🔁이월수
   949 | 2021-02-06 |        36 | 🔄휴식회귀, ✨최약끝수
   947 | 2021-01-23 |        17 | ✨최약끝수
   947 | 2021-01-23 |        20 | 🎯보너스추적
   947 | 2021-01-23 |        27 | ✨최약끝수
   946 | 2021-01-16 |         9 | 🔁이월수
   946 | 2021-01-16 |        30 | 🔁이월수
   946 | 2021-01-16 |        34 | 🚀미출현폭탄
   945 | 2021-01-09 |        15 | 🔄휴식회귀
   945 | 2021-01-09 |        33 | 🔁이월수
   945 | 2021-01-09 |        37 | ✨최약끝수
   944 | 2021-01-02 |        13 | 🔁이월수
   943 | 2020-12-26 |        36 | 🔄휴식회귀
   942 | 2020-12-19 |        12 | 🔁이월수
   942 | 2020-12-19 |        35 | 🎯보너스추적
   940 | 2020-12-05 |         3 | 🔄휴식회귀
   940 | 2020-12-05 |        15 | 🔄휴식회귀
   939 | 2020-11-28 |         4 | 🔁이월수
   939 | 2020-11-28 |        39 | ✨최약끝수
   938 | 2020-11-21 |         8 | 🚀미출현폭탄
   938 | 2020-11-21 |        10 | 🔁이월수
   938 | 2020-11-21 |        16 | 🚀미출현폭탄, ✨최약끝수
   938 | 2020-11-21 |        36 | ✨최약끝수
   937 | 2020-11-14 |        10 | ✨최약끝수
   937 | 2020-11-14 |        13 | 🔁이월수
   937 | 2020-11-14 |        29 | 🔁이월수
   937 | 2020-11-14 |        40 | 🚀미출현폭탄, ✨최약끝수
   936 | 2020-11-07 |        18 | 🎯보너스추적
   935 | 2020-10-31 |        10 | ✨최약끝수
   935 | 2020-10-31 |        20 | ✨최약끝수
   935 | 2020-10-31 |        44 | 🔄휴식회귀
   934 | 2020-10-24 |         3 | 🔄휴식회귀
   934 | 2020-10-24 |        30 | 🚀미출현폭탄, ✨최약끝수
   934 | 2020-10-24 |        36 | 🔁이월수
   933 | 2020-10-17 |        29 | 🚀미출현폭탄
   933 | 2020-10-17 |        36 | 🔁이월수
   932 | 2020-10-10 |         6 | 🔄휴식회귀
   932 | 2020-10-10 |        15 | 🔁이월수
   931 | 2020-10-03 |        25 | 🔁이월수
   928 | 2020-09-12 |         4 | 🎯보너스추적, 🔁이월수
   928 | 2020-09-12 |        10 | ✨최약끝수
   928 | 2020-09-12 |        20 | ✨최약끝수
   927 | 2020-09-05 |         4 | 🎯보너스추적
   927 | 2020-09-05 |        15 | 🚀미출현폭탄
   927 | 2020-09-05 |        22 | 🔄휴식회귀
   926 | 2020-08-29 |        10 | 🚀미출현폭탄, ✨최약끝수
   926 | 2020-08-29 |        20 | 🚀미출현폭탄, ✨최약끝수
   925 | 2020-08-22 |        13 | 🎯보너스추적
   925 | 2020-08-22 |        34 | 🔁이월수
   925 | 2020-08-22 |        42 | 🔁이월수
   924 | 2020-08-15 |         3 | 🔁이월수
   923 | 2020-08-08 |        17 | 🔁이월수
   923 | 2020-08-08 |        36 | 🎯보너스추적
   922 | 2020-08-01 |        27 | 🔄휴식회귀
   921 | 2020-07-25 |         5 | 🎯보너스추적
   921 | 2020-07-25 |        22 | 🔄휴식회귀
   921 | 2020-07-25 |        41 | 🚀미출현폭탄
   920 | 2020-07-18 |         2 | 🔄휴식회귀
   920 | 2020-07-18 |        34 | 🎯보너스추적
   919 | 2020-07-11 |         9 | 🚀미출현폭탄
   919 | 2020-07-11 |        17 | 🎯보너스추적
   918 | 2020-07-04 |        38 | 🔄휴식회귀
   917 | 2020-06-27 |        27 | 🎯보너스추적
   916 | 2020-06-20 |         6 | 🔁이월수
   916 | 2020-06-20 |        22 | 🔁이월수
   916 | 2020-06-20 |        35 | 🔄휴식회귀
   914 | 2020-06-06 |        16 | 🔁이월수
   913 | 2020-05-30 |        16 | 🔄휴식회귀
   913 | 2020-05-30 |        21 | 🔁이월수
   912 | 2020-05-23 |         5 | 🔁이월수
   912 | 2020-05-23 |        18 | 🔄휴식회귀
   912 | 2020-05-23 |        38 | 🔄휴식회귀
   910 | 2020-05-09 |        11 | 🚀미출현폭탄
   910 | 2020-05-09 |        35 | 🔁이월수
   910 | 2020-05-09 |        39 | 🔄휴식회귀
   909 | 2020-05-02 |        30 | 🎯보너스추적, ✨최약끝수
   908 | 2020-04-25 |        21 | 🔁이월수
   908 | 2020-04-25 |        44 | 🔁이월수
   907 | 2020-04-18 |        40 | ✨최약끝수
   907 | 2020-04-18 |        44 | 🚀미출현폭탄
   905 | 2020-04-04 |        38 | 🔄휴식회귀
   905 | 2020-04-04 |        40 | ✨최약끝수
   904 | 2020-03-28 |         2 | 🔁이월수
   904 | 2020-03-28 |        26 | 🔄휴식회귀
   904 | 2020-03-28 |        45 | 🎯보너스추적, 🔄휴식회귀
   903 | 2020-03-21 |         2 | 🚀미출현폭탄
   903 | 2020-03-21 |        21 | 🎯보너스추적
   902 | 2020-03-14 |        23 | 🔁이월수
   901 | 2020-03-07 |        18 | 🔁이월수
   901 | 2020-03-07 |        20 | ✨최약끝수
   901 | 2020-03-07 |        30 | ✨최약끝수
   899 | 2020-02-22 |        20 | ✨최약끝수
   899 | 2020-02-22 |        21 | 🔁이월수
   898 | 2020-02-15 |        18 | 🔄휴식회귀
   898 | 2020-02-15 |        21 | 🚀미출현폭탄
   897 | 2020-02-08 |        12 | 🔁이월수
   897 | 2020-02-08 |        26 | 🔁이월수
   896 | 2020-02-01 |        26 | 🔁이월수
   896 | 2020-02-01 |        38 | 🔁이월수
   896 | 2020-02-01 |        45 | 🎯보너스추적, 🔄휴식회귀
   895 | 2020-01-25 |        41 | 🔁이월수
   894 | 2020-01-18 |        19 | 🎯보너스추적, 🔄휴식회귀
   894 | 2020-01-18 |        40 | 🚀미출현폭탄, ✨최약끝수
   894 | 2020-01-18 |        41 | 🔁이월수
   893 | 2020-01-11 |        17 | 🔁이월수
   893 | 2020-01-11 |        23 | 🔄휴식회귀
   892 | 2020-01-04 |         9 | 🔁이월수
   892 | 2020-01-04 |        26 | 🎯보너스추적
   891 | 2019-12-28 |        41 | 🚀미출현폭탄
   890 | 2019-12-21 |         4 | 🔄휴식회귀
   890 | 2019-12-21 |        18 | 🔄휴식회귀
   890 | 2019-12-21 |        29 | 🔁이월수
   889 | 2019-12-14 |         3 | 🔁이월수
   889 | 2019-12-14 |        29 | 🚀미출현폭탄
   889 | 2019-12-14 |        38 | 🔁이월수
   888 | 2019-12-07 |        31 | 🎯보너스추적
   888 | 2019-12-07 |        38 | 🚀미출현폭탄
   887 | 2019-11-30 |         8 | 🚀미출현폭탄
   887 | 2019-11-30 |        17 | 🎯보너스추적, 🔄휴식회귀
   887 | 2019-11-30 |        36 | 🚀미출현폭탄
   887 | 2019-11-30 |        45 | 🔁이월수
   886 | 2019-11-23 |        19 | 🔄휴식회귀
   886 | 2019-11-23 |        28 | ✨최약끝수
   886 | 2019-11-23 |        45 | 🔁이월수
   885 | 2019-11-16 |         1 | ✨최약끝수
   885 | 2019-11-16 |        45 | 🔁이월수
   884 | 2019-11-09 |        23 | 🎯보너스추적
   884 | 2019-11-09 |        28 | ✨최약끝수
   884 | 2019-11-09 |        37 | 🔁이월수
   883 | 2019-11-02 |         9 | 🎯보너스추적
   883 | 2019-11-02 |        18 | 🔁이월수, ✨최약끝수
   883 | 2019-11-02 |        44 | 🔁이월수
   882 | 2019-10-26 |        18 | 🔁이월수, ✨최약끝수
   882 | 2019-10-26 |        34 | 🔄휴식회귀
   882 | 2019-10-26 |        39 | 🔄휴식회귀
   882 | 2019-10-26 |        43 | 🔄휴식회귀
   881 | 2019-10-19 |        18 | ✨최약끝수
   881 | 2019-10-19 |        20 | 🎯보너스추적
   880 | 2019-10-12 |         7 | 🚀미출현폭탄
   880 | 2019-10-12 |        19 | 🔄휴식회귀
   879 | 2019-10-05 |         1 | 🚀미출현폭탄
   878 | 2019-09-28 |         6 | ✨최약끝수
   878 | 2019-09-28 |        16 | ✨최약끝수
   878 | 2019-09-28 |        25 | 🔄휴식회귀
   878 | 2019-09-28 |        31 | 🚀미출현폭탄
   877 | 2019-09-21 |         5 | 🔁이월수
   877 | 2019-09-21 |        43 | 🔄휴식회귀
   876 | 2019-09-14 |        16 | ✨최약끝수
   876 | 2019-09-14 |        26 | ✨최약끝수
   876 | 2019-09-14 |        34 | 🔁이월수
   875 | 2019-09-07 |        19 | 🔁이월수
   875 | 2019-09-07 |        22 | 🔄휴식회귀
   874 | 2019-08-31 |         1 | 🚀미출현폭탄, ✨최약끝수
   874 | 2019-08-31 |        23 | 🚀미출현폭탄
   873 | 2019-08-24 |         5 | 🚀미출현폭탄
   873 | 2019-08-24 |        33 | 🔁이월수
   872 | 2019-08-17 |         2 | 🔁이월수
   872 | 2019-08-17 |         4 | 🎯보너스추적
   872 | 2019-08-17 |        30 | 🔁이월수
   871 | 2019-08-10 |         6 | ✨최약끝수
   871 | 2019-08-10 |        26 | ✨최약끝수
   871 | 2019-08-10 |        30 | 🔁이월수
   870 | 2019-08-03 |        21 | ✨최약끝수
   870 | 2019-08-03 |        25 | 🎯보너스추적, 🔄휴식회귀
   868 | 2019-07-20 |        12 | 🎯보너스추적, 🚀미출현폭탄
   868 | 2019-07-20 |        17 | 🔁이월수
   868 | 2019-07-20 |        41 | 🎯보너스추적, ✨최약끝수
   868 | 2019-07-20 |        43 | 🔄휴식회귀
   867 | 2019-07-13 |        17 | 🔄휴식회귀, ✨최약끝수
   866 | 2019-07-06 |        15 | 🔁이월수
   866 | 2019-07-06 |        37 | 🚀미출현폭탄, ✨최약끝수
   865 | 2019-06-29 |         3 | 🔁이월수
   865 | 2019-06-29 |        32 | 🎯보너스추적
   864 | 2019-06-22 |         3 | 🚀미출현폭탄
   864 | 2019-06-22 |         7 | ✨최약끝수
   863 | 2019-06-15 |        16 | 🔄휴식회귀
   863 | 2019-06-15 |        28 | 🔄휴식회귀
   863 | 2019-06-15 |        43 | 🔁이월수
   862 | 2019-06-08 |        42 | 🎯보너스추적
   861 | 2019-06-01 |        17 | ✨최약끝수
   861 | 2019-06-01 |        25 | 🔁이월수
   860 | 2019-05-25 |         8 | 🔁이월수
   860 | 2019-05-25 |        27 | ✨최약끝수
   859 | 2019-05-18 |        38 | 🔁이월수
   859 | 2019-05-18 |        39 | 🔁이월수
   858 | 2019-05-11 |        38 | 🔁이월수
   858 | 2019-05-11 |        43 | 🎯보너스추적
   857 | 2019-05-04 |         6 | 🚀미출현폭탄
   857 | 2019-05-04 |        10 | 🔁이월수
   857 | 2019-05-04 |        28 | 🔄휴식회귀
   856 | 2019-04-27 |        10 | 🚀미출현폭탄
   856 | 2019-04-27 |        43 | 🔁이월수
   856 | 2019-04-27 |        44 | 🔁이월수
   855 | 2019-04-20 |        17 | ✨최약끝수
   855 | 2019-04-20 |        43 | 🔁이월수
   853 | 2019-04-06 |        23 | 🚀미출현폭탄
   853 | 2019-04-06 |        27 | 🚀미출현폭탄, ✨최약끝수
   852 | 2019-03-30 |        17 | ✨최약끝수
   852 | 2019-03-30 |        30 | 🔄휴식회귀
   852 | 2019-03-30 |        33 | 🔄휴식회귀
   851 | 2019-03-23 |        14 | 🔄휴식회귀
   850 | 2019-03-16 |        20 | 🚀미출현폭탄
   850 | 2019-03-16 |        24 | 🚀미출현폭탄
   850 | 2019-03-16 |        39 | 🔁이월수
   849 | 2019-03-09 |        13 | 🎯보너스추적
   849 | 2019-03-09 |        17 | ✨최약끝수
   849 | 2019-03-09 |        34 | 🎯보너스추적
   849 | 2019-03-09 |        39 | 🔁이월수
   848 | 2019-03-02 |        16 | 🔁이월수
   848 | 2019-03-02 |        22 | 🎯보너스추적, 🚀미출현폭탄
   847 | 2019-02-23 |        30 | 🔁이월수
   846 | 2019-02-16 |         5 | 🔄휴식회귀
   846 | 2019-02-16 |        18 | 🎯보너스추적
   846 | 2019-02-16 |        45 | 🔁이월수
   845 | 2019-02-09 |        33 | 🔁이월수
   845 | 2019-02-09 |        45 | 🔁이월수
   844 | 2019-02-02 |         7 | ✨최약끝수
   844 | 2019-02-02 |        13 | 🔄휴식회귀
   844 | 2019-02-02 |        33 | 🔁이월수
   843 | 2019-01-26 |        42 | 🔁이월수
   842 | 2019-01-19 |        14 | 🔁이월수
   842 | 2019-01-19 |        32 | 🚀미출현폭탄
   841 | 2019-01-12 |        11 | 🔁이월수
   840 | 2019-01-05 |        11 | 🔁이월수
   840 | 2019-01-05 |        29 | 🔄휴식회귀
   839 | 2018-12-29 |         9 | 🔁이월수
   839 | 2018-12-29 |        12 | 🔄휴식회귀
   839 | 2018-12-29 |        19 | 🎯보너스추적
   838 | 2018-12-22 |        17 | 🚀미출현폭탄, ✨최약끝수
   838 | 2018-12-22 |        33 | 🔁이월수
   837 | 2018-12-15 |         2 | 🚀미출현폭탄
   837 | 2018-12-15 |        28 | 🔁이월수
   836 | 2018-12-08 |         9 | 🔁이월수
   836 | 2018-12-08 |        28 | 🔁이월수
   834 | 2018-11-24 |        18 | 🔁이월수
   834 | 2018-11-24 |        42 | 🔁이월수
   833 | 2018-11-17 |        12 | 🔄휴식회귀
   833 | 2018-11-17 |        30 | 🎯보너스추적
   833 | 2018-11-17 |        41 | 🚀미출현폭탄
   832 | 2018-11-10 |        19 | 🔁이월수
   831 | 2018-11-03 |        16 | 🔁이월수
   830 | 2018-10-27 |         5 | 🔁이월수
   830 | 2018-10-27 |         6 | 🚀미출현폭탄
   830 | 2018-10-27 |        18 | 🎯보너스추적
   830 | 2018-10-27 |        37 | ✨최약끝수
   830 | 2018-10-27 |        38 | 🔄휴식회귀
   829 | 2018-10-20 |         4 | 🔁이월수
   829 | 2018-10-20 |        31 | 🔁이월수
   828 | 2018-10-13 |         4 | 🚀미출현폭탄
   828 | 2018-10-13 |         7 | ✨최약끝수
   828 | 2018-10-13 |        29 | 🔁이월수
   827 | 2018-10-06 |        33 | 🔁이월수
   826 | 2018-09-29 |        25 | 🔄휴식회귀
   826 | 2018-09-29 |        33 | 🔁이월수
   825 | 2018-09-22 |        15 | 🎯보너스추적
   825 | 2018-09-22 |        21 | 🔄휴식회귀
   825 | 2018-09-22 |        31 | 🔄휴식회귀
   825 | 2018-09-22 |        38 | 🔁이월수
   824 | 2018-09-15 |         7 | 🚀미출현폭탄, ✨최약끝수
   824 | 2018-09-15 |        24 | 🔁이월수
   823 | 2018-09-08 |        12 | 🎯보너스추적
   823 | 2018-09-08 |        18 | 🔁이월수
   823 | 2018-09-08 |        24 | 🔁이월수
   822 | 2018-09-01 |        18 | 🔄휴식회귀
   822 | 2018-09-01 |        24 | 🔁이월수
   822 | 2018-09-01 |        27 | ✨최약끝수
   820 | 2018-08-18 |        10 | 🔄휴식회귀
   820 | 2018-08-18 |        21 | 🔄휴식회귀
   820 | 2018-08-18 |        22 | 🚀미출현폭탄
   819 | 2018-08-11 |        25 | 🔁이월수
   819 | 2018-08-11 |        33 | 🚀미출현폭탄
   818 | 2018-08-04 |        14 | 🔄휴식회귀
   818 | 2018-08-04 |        25 | 🔁이월수
   817 | 2018-07-28 |        12 | 🔁이월수
   817 | 2018-07-28 |        43 | 🔄휴식회귀
   816 | 2018-07-21 |        19 | ✨최약끝수
   816 | 2018-07-21 |        29 | 🚀미출현폭탄, ✨최약끝수
   816 | 2018-07-21 |        31 | 🔄휴식회귀
   816 | 2018-07-21 |        39 | ✨최약끝수
   815 | 2018-07-14 |        21 | 🔁이월수
   815 | 2018-07-14 |        27 | 🎯보너스추적, 🚀미출현폭탄
   814 | 2018-07-07 |        42 | 🔁이월수
   813 | 2018-06-30 |        11 | 🎯보너스추적
   812 | 2018-06-23 |        12 | 🔄휴식회귀
   812 | 2018-06-23 |        16 | 🚀미출현폭탄
   811 | 2018-06-16 |         8 | 🚀미출현폭탄
   811 | 2018-06-16 |        11 | 🎯보너스추적
   811 | 2018-06-16 |        19 | ✨최약끝수
   811 | 2018-06-16 |        21 | 🔁이월수
   811 | 2018-06-16 |        36 | 🔄휴식회귀
   810 | 2018-06-09 |        39 | 🎯보너스추적, ✨최약끝수
   809 | 2018-06-02 |        15 | 🔁이월수
   807 | 2018-05-19 |        34 | ✨최약끝수
   806 | 2018-05-12 |        14 | ✨최약끝수
   806 | 2018-05-12 |        31 | 🔁이월수
   805 | 2018-05-05 |        13 | 🔁이월수
   805 | 2018-05-05 |        32 | 🔁이월수
   804 | 2018-04-28 |        26 | 🎯보너스추적, 🔁이월수
   803 | 2018-04-21 |         9 | 🚀미출현폭탄
   803 | 2018-04-21 |        26 | 🎯보너스추적
   801 | 2018-04-07 |        17 | ✨최약끝수
   801 | 2018-04-07 |        28 | 🔁이월수
   801 | 2018-04-07 |        37 | 🚀미출현폭탄, ✨최약끝수
   801 | 2018-04-07 |        44 | 🚀미출현폭탄
   800 | 2018-03-31 |         4 | ✨최약끝수
   800 | 2018-03-31 |        12 | 🔁이월수
   800 | 2018-03-31 |        45 | 🔁이월수
   799 | 2018-03-24 |        17 | ✨최약끝수
   798 | 2018-03-17 |         2 | 🔄휴식회귀
   798 | 2018-03-17 |        22 | 🔁이월수
   798 | 2018-03-17 |        32 | 🔁이월수
   798 | 2018-03-17 |        36 | 🎯보너스추적
   797 | 2018-03-10 |         5 | 🎯보너스추적
   797 | 2018-03-10 |        22 | 🚀미출현폭탄
   797 | 2018-03-10 |        32 | 🚀미출현폭탄
   796 | 2018-03-03 |         1 | 🚀미출현폭탄
   796 | 2018-03-03 |        26 | 🔁이월수
   796 | 2018-03-03 |        36 | 🎯보너스추적
   795 | 2018-02-24 |         3 | ✨최약끝수
   795 | 2018-02-24 |        13 | 🎯보너스추적, ✨최약끝수
   795 | 2018-02-24 |        38 | 🔁이월수
   794 | 2018-02-17 |         6 | 🔄휴식회귀
   794 | 2018-02-17 |        18 | 🔄휴식회귀
   794 | 2018-02-17 |        30 | ✨최약끝수
   794 | 2018-02-17 |        38 | 🔁이월수
   793 | 2018-02-10 |        10 | ✨최약끝수
   793 | 2018-02-10 |        15 | 🔄휴식회귀
   793 | 2018-02-10 |        21 | 🔄휴식회귀
   792 | 2018-02-03 |         2 | 🔁이월수
   791 | 2018-01-27 |        12 | 🎯보너스추적
   791 | 2018-01-27 |        33 | ✨최약끝수
   790 | 2018-01-20 |        19 | 🔁이월수
   790 | 2018-01-20 |        30 | ✨최약끝수
   789 | 2018-01-13 |         2 | 🔁이월수
   789 | 2018-01-13 |        19 | 🔁이월수
   788 | 2018-01-06 |         2 | 🚀미출현폭탄
   788 | 2018-01-06 |        10 | ✨최약끝수
   788 | 2018-01-06 |        11 | 🔄휴식회귀
   787 | 2017-12-30 |        13 | 🚀미출현폭탄, ✨최약끝수
   787 | 2017-12-30 |        16 | 🔁이월수
   786 | 2017-12-23 |        12 | 🔄휴식회귀
   786 | 2017-12-23 |        15 | 🔁이월수
   786 | 2017-12-23 |        20 | ✨최약끝수
   786 | 2017-12-23 |        30 | ✨최약끝수
   785 | 2017-12-16 |         4 | 🚀미출현폭탄
   784 | 2017-12-09 |        10 | ✨최약끝수
   783 | 2017-12-02 |        16 | 🎯보너스추적
   783 | 2017-12-02 |        38 | 🔁이월수
   783 | 2017-12-02 |        45 | 🔁이월수
   782 | 2017-11-25 |        18 | 🔁이월수
   781 | 2017-11-18 |        11 | 🎯보너스추적
   781 | 2017-11-18 |        16 | 🎯보너스추적
   781 | 2017-11-18 |        19 | 🔁이월수
   780 | 2017-11-11 |        19 | 🔁이월수
   779 | 2017-11-04 |         6 | 🔁이월수
   779 | 2017-11-04 |        41 | 🔁이월수
   778 | 2017-10-28 |         6 | 🔁이월수
   778 | 2017-10-28 |        21 | 🔁이월수
   778 | 2017-10-28 |        37 | 🔁이월수
   777 | 2017-10-21 |        17 | 🎯보너스추적
   777 | 2017-10-21 |        21 | 🔁이월수
   776 | 2017-10-14 |         9 | 🎯보너스추적, 🔄휴식회귀
   776 | 2017-10-14 |        40 | ✨최약끝수
   775 | 2017-10-07 |        12 | 🔁이월수
   775 | 2017-10-07 |        42 | 🔁이월수
   774 | 2017-09-30 |        12 | 🔁이월수
